iter	Logloss
0	0.6493172464
1	0.6023868438
2	0.5674676623
3	0.5285704318
4	0.4876602981
5	0.4555562141
6	0.4357820455
7	0.4285667986
8	0.4049403793
9	0.3981791244
10	0.3804767754
11	0.360138124
12	0.3437825775
13	0.3252790213
14	0.313914048
15	0.302860104
16	0.2884263533
17	0.2712852645
18	0.2554344042
19	0.2459490366
20	0.241514115
21	0.2372258499
22	0.2262747983
23	0.2233000749
24	0.2153148755
25	0.206358437
26	0.195262413
27	0.1902610365
28	0.1829622246
29	0.1776952242
30	0.1709729038
31	0.1635974942
32	0.1552109548
33	0.1522566628
34	0.1477848978
35	0.1433508255
36	0.1387211617
37	0.1362653766
38	0.1311785478
39	0.1268818264
40	0.1231642227
41	0.1191010258
42	0.1151924753
43	0.1106477122
44	0.1072493076
45	0.104341726
46	0.1011858467
47	0.09894506116
48	0.09481188143
49	0.09236780849
50	0.08999413734
51	0.08747501022
52	0.08562613598
53	0.08207579029
54	0.07961548112
55	0.07794450857
56	0.07588495915
57	0.0740185306
58	0.07258174006
59	0.07089592518
60	0.06858344467
61	0.06720629314
62	0.06583261918
63	0.06446310237
64	0.06276336661
65	0.06158840642
66	0.06063542376
67	0.05962351219
68	0.05852770974
69	0.05720455509
70	0.05573374237
71	0.05471412353
72	0.05359793979
73	0.05265197157
74	0.05157072934
75	0.05088376557
76	0.04977588899
77	0.04893206048
78	0.04781982148
79	0.04700392911
80	0.0463063532
81	0.0456301443
82	0.04495330343
83	0.04419156677
84	0.04358754499
85	0.04284960026
86	0.04193122216
87	0.04107430887
88	0.04058363943
89	0.04000371877
90	0.03937399685
91	0.03877179912
92	0.03815632983
93	0.03755791651
94	0.03682026246
95	0.0363380455
96	0.03565381603
97	0.03505551849
98	0.03453295778
99	0.03404775672
100	0.03355903027
101	0.03309882181
102	0.03258691564
103	0.03210204158
104	0.03166838584
105	0.03130698459
106	0.03099114145
107	0.03064738469
108	0.03026248633
109	0.02987800876
110	0.02951190064
111	0.02920232314
112	0.0289381227
113	0.02859538139
114	0.02826802712
115	0.02796391565
116	0.02768715466
117	0.02739750589
118	0.02709725111
119	0.02679777139
120	0.02650553613
121	0.0262250027
122	0.02596752181
123	0.02571696431
124	0.02545215636
125	0.02519306822
126	0.02495759347
127	0.02472891786
