iter	Passed	Remaining
432	1604	2101
433	1608	2097
434	1611	2093
435	1615	2089
436	1618	2085
437	1622	2081
438	1625	2077
439	1629	2073
440	1633	2070
441	1637	2067
442	1641	2063
443	1644	2059
444	1648	2055
445	1651	2051
446	1654	2047
447	1658	2043
448	1661	2039
449	1665	2035
450	1668	2031
451	1672	2028
452	1676	2024
453	1680	2021
454	1684	2017
455	1687	2013
456	1691	2009
457	1694	2005
458	1697	2001
459	1701	1997
460	1705	1993
461	1708	1989
462	1711	1985
463	1716	1982
464	1720	1979
465	1724	1975
466	1727	1972
467	1731	1968
468	1734	1964
469	1738	1960
470	1742	1956
471	1745	1952
472	1749	1948
473	1752	1945
474	1756	1941
475	1760	1938
476	1764	1934
477	1768	1930
478	1771	1926
479	1774	1922
480	1778	1918
481	1781	1914
482	1785	1910
483	1788	1907
484	1792	1903
485	1795	1899
486	1799	1895
487	1803	1892
488	1807	1889
489	1811	1885
490	1814	1881
491	1818	1877
492	1822	1873
493	1825	1869
494	1829	1866
495	1832	1862
496	1836	1858
497	1839	1854
498	1843	1850
499	1847	1847
500	1851	1844
501	1854	1840
502	1858	1836
503	1861	1832
504	1865	1828
505	1868	1824
506	1872	1820
507	1875	1816
508	1879	1812
509	1882	1808
510	1886	1805
511	1891	1802
512	1894	1798
513	1898	1794
514	1901	1791
515	1905	1787
516	1908	1783
517	1912	1779
518	1915	1775
519	1919	1771
520	1922	1767
521	1927	1764
522	1931	1761
523	1935	1758
524	1938	1754
525	1942	1750
526	1946	1746
527	1949	1742
528	1953	1738
529	1956	1735
530	1959	1731
531	1963	1727
532	1967	1723
533	1971	1720
534	1975	1717
535	1978	1713
536	1982	1709
537	1986	1705
538	1989	1701
539	1992	1697
540	1996	1693
541	1999	1689
542	2003	1686
543	2006	1682
544	2010	1678
545	2014	1675
546	2018	1671
547	2022	1667
548	2025	1663
549	2028	1660
550	2032	1656
551	2035	1652
552	2039	1648
553	2042	1644
554	2046	1640
555	2049	1636
556	2053	1633
557	2057	1629
558	2061	1626
559	2065	1622
560	2068	1619
561	2072	1615
562	2076	1611
563	2080	1608
564	2083	1604
565	2086	1600
566	2090	1596
567	2093	1592
568	2097	1589
569	2102	1585
570	2106	1582
571	2109	1578
572	2112	1574
573	2116	1570
574	2119	1566
575	2123	1563
576	2127	1559
577	2130	1555
578	2133	1551
579	2137	1548
580	2141	1544
581	2145	1541
582	2149	1537
583	2152	1533
584	2156	1529
585	2159	1525
586	2163	1521
587	2166	1518
588	2170	1514
589	2173	1510
590	2176	1506
591	2180	1503
592	2184	1499
593	2188	1496
594	2192	1492
